Benchmark,Kotlin,C,Swift,C++,Rust
Compile: Primes Functional,7.58,,0.41,0.21,0.33
Primes Functional,67.17,,2.53,0.88,0.87
Compile: Strings Functional,9.49,,2.05,0.44,0.32
Strings Functional,1.87,,3.92,0.0,0.03
Compile: Strings Imperative,8.62,,1.51,0.44,0.31
Strings Imperative,1.29,,3.39,0.0,0.03
Compile: Chunks Functional,9.33,0.3,1.3,,0.36
Chunks Functional,142.73,0.45,7.17,,0.53
Compile: Chunks Imperative,10.78,0.13,0.94,,0.49
Chunks Imperative,9.12,0.44,0.5,,0.54
